queue,mode,producers,consumers,oversubscribe,capacity,qos,seconds,rate,trial,ops,elapsed_s,throughput_mops,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,fair_cov,cons_cov,vcsw,ivcsw,retries_per_op,secondary_per_op,ebr_limbo_peak,ebr_maint_ns_per_pass,ebr_adv_success_rate,calib_ns,peak_rss_mb,unix_time
ms,throughput,1,1,1,1024,none,2,1000000,1,48259534,4.0083,12.040,0.0,0,0,0,0,0.0000,0.0000,0,832,0.0000,0.0000,1728,4487.7,0.9985,121494417,652.9,1784204008
ms-fix,throughput,1,1,1,1024,none,2,1000000,1,41518931,3.5287,11.766,0.0,0,0,0,0,0.0000,0.0000,0,667,0.0000,0.0000,2752,4702.3,0.9973,124190292,696.6,1784204012
ms-retry,throughput,1,1,1,1024,none,2,1000000,1,34649610,3.1138,11.128,0.0,0,0,0,0,0.0000,0.0000,0,491,0.0000,0.0000,2112,4966.0,0.9942,121908584,572.8,1784204015
spsc,throughput,1,1,1,1024,none,2,1000000,1,717772221,2.0051,357.980,0.0,0,0,0,0,0.0000,0.0000,0,4368,0.0000,0.0000,0,0.0,0.0000,123789417,1.2,1784204018
ms,throughput,4,4,1,1024,none,2,1000000,1,13255483,2.0042,6.614,0.0,0,0,0,0,0.1088,0.0216,0,70684,1.0434,0.4197,49024,26792.3,0.0270,126244000,25.6,1784204020
ms-fix,throughput,4,4,1,1024,none,2,1000000,1,12345227,2.0052,6.157,0.0,0,0,0,0,0.0975,0.0138,0,94098,1.2269,0.5034,75245,21538.9,0.0306,119975292,17.4,1784204023
ms-retry,throughput,4,4,1,1024,none,2,1000000,1,14419286,2.5091,5.747,0.0,0,0,0,0,0.1928,0.0084,0,39458,0.9786,0.3804,32832,39166.4,0.1560,123512917,173.7,1784204026
ms,throughput,1,7,1,1024,none,2,1000000,1,56916804,10.5823,5.378,0.0,0,0,0,0,0.0000,0.0128,0,148125,0.0456,0.0000,130304,80317.8,0.0007,120318625,706.4,1784204037
ms-fix,throughput,1,7,1,1024,none,2,1000000,1,19513449,2.0923,9.326,0.0,0,0,0,0,0.0000,0.2446,0,27923,0.6312,0.0000,884992,25101.4,0.0085,121083708,226.9,1784204039
ms-retry,throughput,1,7,1,1024,none,2,1000000,1,67325739,26.3961,2.551,0.0,0,0,0,0,0.0000,0.0139,0,94542,0.0442,0.0000,43392,172675.6,0.8163,124794083,1059.1,1784204066
ms,throughput,2,6,1,1024,none,2,1000000,1,31131187,5.0133,6.210,0.0,0,0,0,0,0.0011,0.0146,0,21793,0.2313,0.0716,98944,59636.5,0.0011,120808416,628.7,1784204072
ms-fix,throughput,2,6,1,1024,none,2,1000000,1,17737508,2.0190,8.785,0.0,0,0,0,0,0.0414,0.1248,0,26750,0.7157,0.1668,325205,23918.2,0.0012,124612250,80.6,1784204074
ms-retry,throughput,2,6,1,1024,none,2,1000000,1,39712727,10.8745,3.652,0.0,0,0,0,0,0.0728,0.0118,0,37387,0.2758,0.0715,18882,102297.6,0.8542,121688875,788.8,1784204085
ms,throughput,1,1,1,1024,none,2,1000000,2,21513066,2.3857,9.018,0.0,0,0,0,0,0.0000,0.0000,0,117,0.0000,0.0000,1088,6247.7,0.9997,119121833,184.1,1784204090
ms-fix,throughput,1,1,1,1024,none,2,1000000,2,43909901,3.7557,11.691,0.0,0,0,0,0,0.0000,0.0000,0,1698,0.0000,0.0000,3072,4638.9,0.9992,116487917,628.1,1784204094
ms-retry,throughput,1,1,1,1024,none,2,1000000,2,33247767,2.9740,11.179,0.0,0,0,0,0,0.0000,0.0000,0,297,0.0000,0.0000,2624,4936.7,0.9960,119950875,461.0,1784204098
spsc,throughput,1,1,1,1024,none,2,1000000,2,726739105,2.0051,362.444,0.0,0,0,0,0,0.0000,0.0000,0,870,0.0000,0.0000,0,0.0,0.0000,124008750,1.2,1784204100
ms,throughput,4,4,1,1024,none,2,1000000,2,11740031,2.0035,5.860,0.0,0,0,0,0,0.0089,0.0166,0,31018,1.2252,0.4721,38272,28579.1,0.0275,118526083,15.5,1784204103
ms-fix,throughput,4,4,1,1024,none,2,1000000,2,10672062,2.0051,5.322,0.0,0,0,0,0,0.0070,0.0287,0,54280,1.4622,0.5478,35755,24319.6,0.0534,125482333,10.9,1784204105
ms-retry,throughput,4,4,1,1024,none,2,1000000,2,13680624,2.4894,5.496,0.0,0,0,0,0,0.0798,0.0188,0,15994,0.9506,0.3834,58240,41074.9,0.1472,117177167,159.5,1784204108
ms,throughput,1,7,1,1024,none,2,1000000,2,47618961,8.5424,5.574,0.0,0,0,0,0,0.0000,0.0094,0,43757,0.0515,0.0000,133056,77558.2,0.0012,124381542,775.4,1784204117
ms-fix,throughput,1,7,1,1024,none,2,1000000,2,18841416,2.0179,9.337,0.0,0,0,0,0,0.0000,0.1543,0,28177,0.6929,0.0000,279209,24097.5,0.0072,119965584,124.0,1784204120
ms-retry,throughput,1,7,1,1024,none,2,1000000,2,58999982,22.2173,2.656,0.0,0,0,0,0,0.0000,0.0143,0,174627,0.0781,0.0000,36242,163200.2,0.5418,122407416,797.0,1784204142
ms,throughput,2,6,1,1024,none,2,1000000,2,28355888,3.8257,7.412,0.0,0,0,0,0,0.0164,0.0127,0,80347,0.1866,0.0441,79472,47642.5,0.0018,124173042,402.5,1784204146
ms-fix,throughput,2,6,1,1024,none,2,1000000,2,20794545,2.0071,10.361,0.0,0,0,0,0,0.0008,0.1013,0,76068,0.5547,0.1325,364767,19841.3,0.0012,117466333,115.7,1784204149
ms-retry,throughput,2,6,1,1024,none,2,1000000,2,39116358,10.5897,3.694,0.0,0,0,0,0,0.0004,0.0148,0,103458,0.2809,0.0512,65600,98519.3,0.2879,123171708,497.9,1784204160
ms,throughput,1,1,1,1024,none,2,1000000,3,48489599,4.1061,11.809,0.0,0,0,0,0,0.0000,0.0000,0,7274,0.0000,0.0000,2112,4368.2,0.9987,125443250,552.6,1784204166
ms-fix,throughput,1,1,1,1024,none,2,1000000,3,43143546,3.7312,11.563,0.0,0,0,0,0,0.0000,0.0000,0,394,0.0000,0.0000,2752,4722.4,0.9986,121346166,609.5,1784204171
ms-retry,throughput,1,1,1,1024,none,2,1000000,3,45004370,4.0521,11.107,0.0,0,0,0,0,0.0000,0.0000,0,3292,0.0000,0.0000,3200,4750.2,0.9712,122113583,569.2,1784204175
spsc,throughput,1,1,1,1024,none,2,1000000,3,730606527,2.0051,364.383,0.0,0,0,0,0,0.0000,0.0000,0,1173,0.0000,0.0000,0,0.0,0.0000,119344334,1.1,1784204178
ms,throughput,4,4,1,1024,none,2,1000000,3,13478680,2.0055,6.721,0.0,0,0,0,0,0.0559,0.0156,0,40337,0.9078,0.3647,37183,28985.0,0.0154,126028083,32.2,1784204180
ms-fix,throughput,4,4,1,1024,none,2,1000000,3,10805735,2.0058,5.387,0.0,0,0,0,0,0.0056,0.0212,0,42692,1.4441,0.5543,34304,24062.2,0.0432,121963250,11.0,1784204182
ms-retry,throughput,4,4,1,1024,none,2,1000000,3,13429804,2.4412,5.501,0.0,0,0,0,0,0.0667,0.0243,0,15519,1.0083,0.4105,17088,41451.8,0.3468,123181625,141.6,1784204185
ms,throughput,1,7,1,1024,none,2,1000000,3,50990410,9.6264,5.297,0.0,0,0,0,0,0.0000,0.0230,0,78358,0.0493,0.0000,129088,81541.6,0.0014,123569541,567.2,1784204195
ms-fix,throughput,1,7,1,1024,none,2,1000000,3,22662760,2.0159,11.242,0.0,0,0,0,0,0.0000,0.5540,0,44229,0.5686,0.0000,2818363,19976.8,0.0013,120198833,452.5,1784204198
ms-retry,throughput,1,7,1,1024,none,2,1000000,3,56471422,20.9418,2.697,0.0,0,0,0,0,0.0000,0.0144,0,156148,0.0819,0.0000,37630,160578.2,0.4778,122944583,497.5,1784204219
ms,throughput,2,6,1,1024,none,2,1000000,3,32116711,4.8774,6.585,0.0,0,0,0,0,0.0148,0.0177,0,30262,0.1925,0.0566,93056,55598.2,0.0012,121653125,457.6,1784204225
ms-fix,throughput,2,6,1,1024,none,2,1000000,3,20467926,2.0110,10.178,0.0,0,0,0,0,0.0353,0.1861,0,81248,0.5294,0.1411,1069632,20588.8,0.0006,123864458,197.3,1784204227
ms-retry,throughput,2,6,1,1024,none,2,1000000,3,36489978,10.2065,3.575,0.0,0,0,0,0,0.0525,0.0152,0,53327,0.2612,0.0563,30208,102984.6,0.5133,122202583,533.5,1784204238
ms,throughput,1,1,1,1024,none,2,1000000,4,38125624,3.1996,11.916,0.0,0,0,0,0,0.0000,0.0000,0,1329,0.0000,0.0000,1152,4497.0,0.9994,121374208,574.2,1784204243
ms-fix,throughput,1,1,1,1024,none,2,1000000,4,45764804,4.0703,11.244,0.0,0,0,0,0,0.0000,0.0000,0,2246,0.0000,0.0000,105792,4721.9,0.9959,125619583,571.9,1784204248
ms-retry,throughput,1,1,1,1024,none,2,1000000,4,43164403,3.6171,11.934,0.0,0,0,0,0,0.0000,0.0000,0,550,0.0000,0.0000,3392,4519.7,0.9956,123047250,656.4,1784204252
spsc,throughput,1,1,1,1024,none,2,1000000,4,731065490,2.0051,364.601,0.0,0,0,0,0,0.0000,0.0000,0,647,0.0000,0.0000,0,0.0,0.0000,122487166,1.2,1784204254
ms,throughput,4,4,1,1024,none,2,1000000,4,11257024,2.0119,5.595,0.0,0,0,0,0,0.0113,0.0194,0,22797,1.3107,0.4753,41408,28494.8,0.0428,123193959,19.9,1784204257
ms-fix,throughput,4,4,1,1024,none,2,1000000,4,10730479,2.0053,5.351,0.0,0,0,0,0,0.0113,0.0091,0,53339,1.4353,0.5165,52542,23825.7,0.0604,118488166,11.3,1784204259
ms-retry,throughput,4,4,1,1024,none,2,1000000,4,13576881,2.4141,5.624,0.0,0,0,0,0,0.0197,0.0212,0,13064,1.0075,0.4075,39907,40170.6,0.2723,124348000,138.9,1784204262
ms,throughput,1,7,1,1024,none,2,1000000,4,48345463,8.7127,5.549,0.0,0,0,0,0,0.0000,0.0152,0,54897,0.0479,0.0000,131136,77677.8,0.0008,120898041,491.9,1784204271
ms-fix,throughput,1,7,1,1024,none,2,1000000,4,20415145,2.0158,10.128,0.0,0,0,0,0,0.0000,0.3606,0,36096,0.6156,0.0000,1322048,21863.9,0.0041,121109458,256.0,1784204274
ms-retry,throughput,1,7,1,1024,none,2,1000000,4,66316751,25.4494,2.606,0.0,0,0,0,0,0.0000,0.0159,0,147766,0.0512,0.0000,18112,168432.9,0.7144,122360500,671.1,1784204300
ms,throughput,2,6,1,1024,none,2,1000000,4,31865243,5.3312,5.977,0.0,0,0,0,0,0.0201,0.0213,0,17413,0.2180,0.0665,92928,62127.2,0.0011,117259167,684.6,1784204305
ms-fix,throughput,2,6,1,1024,none,2,1000000,4,18422088,2.0121,9.156,0.0,0,0,0,0,0.0191,0.1476,0,23394,0.6967,0.1494,364085,23163.4,0.0010,124923750,124.6,1784204308
ms-retry,throughput,2,6,1,1024,none,2,1000000,4,36819416,10.1729,3.619,0.0,0,0,0,0,0.0434,0.0143,0,79635,0.2808,0.0513,32804,100473.5,0.3672,117757709,591.3,1784204318
ms,throughput,1,1,1,1024,none,2,1000000,5,38876080,3.5744,10.876,0.0,0,0,0,0,0.0000,0.0000,0,543,0.0000,0.0000,1536,5021.6,0.9993,116162584,502.1,1784204325
ms-fix,throughput,1,1,1,1024,none,2,1000000,5,51503465,4.3661,11.796,0.0,0,0,0,0,0.0000,0.0000,0,7490,0.0000,0.0000,4160,4347.6,0.9987,120985916,538.3,1784204329
ms-retry,throughput,1,1,1,1024,none,2,1000000,5,44621458,3.9978,11.162,0.0,0,0,0,0,0.0000,0.0000,0,2270,0.0000,0.0000,1088,4731.7,0.9673,124434667,608.9,1784204334
spsc,throughput,1,1,1,1024,none,2,1000000,5,738830986,2.0051,368.484,0.0,0,0,0,0,0.0000,0.0000,0,928,0.0000,0.0000,0,0.0,0.0000,122544416,1.2,1784204336
ms,throughput,4,4,1,1024,none,2,1000000,5,11925009,2.0391,5.848,0.0,0,0,0,0,0.0346,0.0448,0,44445,1.1644,0.4432,69760,29158.3,0.0424,105390333,38.7,1784204339
ms-fix,throughput,4,4,1,1024,none,2,1000000,5,10767399,2.0055,5.369,0.0,0,0,0,0,0.1029,0.0542,0,51007,1.3778,0.4980,256064,23264.4,0.0631,125350083,44.1,1784204341
ms-retry,throughput,4,4,1,1024,none,2,1000000,5,13545969,2.4357,5.561,0.0,0,0,0,0,0.1571,0.0150,0,14642,1.0172,0.3989,35459,40894.2,0.1887,123597209,150.8,1784204344
ms,throughput,1,7,1,1024,none,2,1000000,5,50676846,9.8146,5.163,0.0,0,0,0,0,0.0000,0.0220,0,58951,0.0472,0.0000,124888,83888.1,0.0008,123024584,547.9,1784204354
ms-fix,throughput,1,7,1,1024,none,2,1000000,5,23958420,2.0266,11.822,0.0,0,0,0,0,0.0000,0.1679,0,59083,0.5510,0.0000,928705,19443.3,0.0004,123651500,341.1,1784204357
ms-retry,throughput,1,7,1,1024,none,2,1000000,5,57423032,22.4750,2.555,0.0,0,0,0,0,0.0000,0.0134,0,122577,0.0586,0.0000,23827,170737.6,0.7281,124722583,463.9,1784204380
ms,throughput,2,6,1,1024,none,2,1000000,5,31878310,5.2529,6.069,0.0,0,0,0,0,0.1037,0.0083,0,32947,0.2186,0.0733,110784,61009.5,0.0011,119762708,650.7,1784204385
ms-fix,throughput,2,6,1,1024,none,2,1000000,5,19210460,2.0074,9.570,0.0,0,0,0,0,0.0372,0.1183,0,38149,0.6553,0.1575,471537,22321.0,0.0010,118003583,93.3,1784204388
ms-retry,throughput,2,6,1,1024,none,2,1000000,5,40648797,10.9714,3.705,0.0,0,0,0,0,0.0126,0.0879,0,33947,0.2756,0.0672,6400,100793.6,0.9305,122640916,730.8,1784204399
ms,throughput,1,1,1,1024,none,2,1000000,6,29382247,2.7077,10.851,0.0,0,0,0,0,0.0000,0.0000,0,217,0.0000,0.0000,1280,5164.7,0.9986,121660667,365.1,1784204404
ms-fix,throughput,1,1,1,1024,none,2,1000000,6,35326264,3.1446,11.234,0.0,0,0,0,0,0.0000,0.0000,0,201,0.0000,0.0000,3456,4962.4,0.9993,116295375,543.4,1784204408
ms-retry,throughput,1,1,1,1024,none,2,1000000,6,23600003,2.3929,9.863,0.0,0,0,0,0,0.0000,0.0000,0,126,0.0000,0.0000,2753,5656.0,0.9545,124266666,217.5,1784204411
spsc,throughput,1,1,1,1024,none,2,1000000,6,747833877,2.0051,372.971,0.0,0,0,0,0,0.0000,0.0000,0,37,0.0000,0.0000,0,0.0,0.0000,123765208,1.2,1784204413
ms,throughput,4,4,1,1024,none,2,1000000,6,12787300,2.0052,6.377,0.0,0,0,0,0,0.0955,0.0155,0,64596,1.1225,0.4496,27195,25574.7,0.0279,125560375,9.9,1784204416
ms-fix,throughput,4,4,1,1024,none,2,1000000,6,11600097,2.0053,5.785,0.0,0,0,0,0,0.0092,0.0140,0,81008,1.3057,0.5254,36284,22849.4,0.0377,119346375,10.0,1784204418
ms-retry,throughput,4,4,1,1024,none,2,1000000,6,14721117,2.4740,5.950,0.0,0,0,0,0,0.0596,0.0107,0,32049,0.9225,0.3685,85760,38106.8,0.1503,122617750,168.6,1784204421
ms,throughput,1,7,1,1024,none,2,1000000,6,49551639,8.2939,5.974,0.0,0,0,0,0,0.0000,0.0060,0,125097,0.0609,0.0000,113280,71427.9,0.0009,117100833,600.5,1784204430
ms-fix,throughput,1,7,1,1024,none,2,1000000,6,21055985,2.0187,10.430,0.0,0,0,0,0,0.0000,0.1373,0,54529,0.6138,0.0000,540058,21319.3,0.0022,112417125,146.2,1784204432
ms-retry,throughput,1,7,1,1024,none,2,1000000,6,49027564,18.5013,2.650,0.0,0,0,0,0,0.0000,0.0127,0,201809,0.0646,0.0000,38208,165072.8,0.6023,124560917,521.6,1784204451
ms,throughput,2,6,1,1024,none,2,1000000,6,32164361,5.2554,6.120,0.0,0,0,0,0,0.0048,0.0152,0,44858,0.2295,0.0769,98688,60435.7,0.0011,121412666,696.2,1784204457
ms-fix,throughput,2,6,1,1024,none,2,1000000,6,21268323,2.0112,10.575,0.0,0,0,0,0,0.0010,0.2232,0,65813,0.5793,0.1619,586752,20127.5,0.0007,118866833,126.7,1784204459
ms-retry,throughput,2,6,1,1024,none,2,1000000,6,41183590,10.8630,3.791,0.0,0,0,0,0,0.0083,0.0082,0,78962,0.2846,0.0695,24539,98339.1,0.5930,124412458,878.8,1784204471
ms,throughput,1,1,1,1024,none,2,1000000,7,43485552,3.7179,11.696,0.0,0,0,0,0,0.0000,0.0000,0,1025,0.0000,0.0000,1088,4604.2,0.9993,120842250,704.9,1784204477
ms-fix,throughput,1,1,1,1024,none,2,1000000,7,48552579,4.0665,11.940,0.0,0,0,0,0,0.0000,0.0000,0,9568,0.0000,0.0000,4160,4366.0,0.9979,118792209,598.0,1784204481
ms-retry,throughput,1,1,1,1024,none,2,1000000,7,34223440,2.9967,11.420,0.0,0,0,0,0,0.0000,0.0000,0,291,0.0000,0.0000,896,4818.0,0.9664,124547625,523.3,1784204485
spsc,throughput,1,1,1,1024,none,2,1000000,7,754101164,2.0051,376.097,0.0,0,0,0,0,0.0000,0.0000,0,36,0.0000,0.0000,0,0.0,0.0000,123670083,1.2,1784204487
ms,throughput,4,4,1,1024,none,2,1000000,7,13540201,2.0055,6.752,0.0,0,0,0,0,0.1528,0.0609,0,31852,1.0072,0.4468,35776,20871.9,0.0720,125125459,15.9,1784204490
ms-fix,throughput,4,4,1,1024,none,2,1000000,7,15142201,2.0079,7.541,0.0,0,0,0,0,0.0216,0.0426,0,61067,0.9753,0.4675,90496,13057.4,0.0577,124485083,25.0,1784204492
ms-retry,throughput,4,4,1,1024,none,2,1000000,7,15124203,2.5459,5.941,0.0,0,0,0,0,0.0173,0.0162,0,20720,0.9421,0.3691,69120,36935.7,0.0928,122557875,180.9,1784204495
ms,throughput,1,7,1,1024,none,2,1000000,7,49001238,9.0734,5.401,0.0,0,0,0,0,0.0000,0.0230,0,73119,0.0538,0.0000,123008,79547.9,0.0011,124234208,578.5,1784204505
ms-fix,throughput,1,7,1,1024,none,2,1000000,7,21852283,2.0446,10.688,0.0,0,0,0,0,0.0000,0.2658,0,34838,0.6066,0.0000,1198910,20727.0,0.0007,118293375,220.5,1784204507
ms-retry,throughput,1,7,1,1024,none,2,1000000,7,59466983,24.4090,2.436,0.0,0,0,0,0,0.0000,0.0140,0,164286,0.0624,0.0000,17509,179435.9,0.6857,124338875,644.9,1784204532
ms,throughput,2,6,1,1024,none,2,1000000,7,21485801,4.0563,5.297,0.0,0,0,0,0,0.0265,0.0123,0,57351,0.2537,0.0771,67072,67682.4,0.0017,121523000,369.7,1784204536
ms-fix,throughput,2,6,1,1024,none,2,1000000,7,18006601,2.0086,8.965,0.0,0,0,0,0,0.0235,0.0746,0,107932,0.5413,0.1320,195376,22743.2,0.0021,122871250,68.1,1784204539
ms-retry,throughput,2,6,1,1024,none,2,1000000,7,30639976,9.0880,3.371,0.0,0,0,0,0,0.0170,0.0970,0,148622,0.3418,0.0559,49024,105772.5,0.3135,127592625,383.8,1784204548
